"Submission ID","Authors",
"462","Juntao Li, Yan Song, Haisong Zhang, Dongmin Chen, Shuming Shi, Dongyan Zhao and Rui Yan",
"464","Zhisong Zhang, Rui Wang, Masao Utiyama, Eiichiro Sumita and Hai Zhao",
"465","Yining Wang, Jiajun Zhang, Feifei Zhai, Jingfang Xu and Chengqing Zong",
"468","Di Chen, Jiachen Du, Lidong Bing and Ruifeng Xu",
"469","Yongzhen Wang, Xiaozhong Liu and Zheng Gao",
"470","Enrica Troiano, Carlo Strapparava, Gözde Özbal and Serra Sinem Tekiroglu",
"473","Aaron Smith, Miryam de Lhoneux, Sara Stymne and Joakim Nivre",
"479","Bennett Kleinberg, Maximilian Mozes and Isabelle van der Vegt",
"481","Michal Lukasik and Richard Zens",
"486","Dirk Hovy and Christoph Purschke",
"499","Lijun Wu, Xu Tan, Di He, Fei Tian, Tao Qin, Jianhuang Lai and Tie-Yan Liu",
"500","Silviu Paun, Jon Chamberlain, Udo Kruschwitz, Juntao Yu and Massimo Poesio",
"501","Chen Shi, Qi Chen, Lei Sha, Sujian Li, Xu Sun, Houfeng Wang and Lintao Zhang",
"517","Ta Chung Chi and Yun-Nung Chen",
"523","Maximin Coavoux, Shashi Narayan and Shay B. Cohen",
"525","Dominique Brunato, Lorenzo De Mattei, Felice Dell'Orletta, Benedetta Iavarone and Giulia Venturi",
"526","Kun Xu, Lingfei Wu, Zhiguo Wang, Mo Yu, Liwei Chen and Vadim Sheinin",
"529","Yao Zhao, Xiaochuan Ni, Yuanyuan Ding and Qifa Ke",
"534","Marzieh Saeidi, Max Bartolo, Patrick Lewis, Sameer Singh, Tim Rocktäschel, Mike Sheldon, Guillaume Bouchard and Sebastian Riedel",
"538","Giorgio Magri",
"539","Chloé Pou-Prom and Frank Rudzicz",
"553","Kun Xu, Lingfei Wu, Zhiguo Wang, Yansong Feng and Vadim Sheinin",
"558","Luong Hoang, Sam Wiseman and Alexander Rush",
"566","Jetic Gū, Hassan S. Shavarani and Anoop Sarkar",
"575","Yufang Hou",
"576","Ramakanth Pasunuru and Mohit Bansal",
"577","Ran Ding, Ramesh Nallapati and Bing Xiang",
"582","Todd Shore and Gabriel Skantze",
"585","Yichen Jiang and Mohit Bansal",
"586","Sridhar Moorthy, Ruth Pogacar, Samin Khan and Yang Xu",
"587","Shafiq Joty, Lluís Màrquez and Preslav Nakov",
"589","Ji Ma, Kuzman Ganchev and David Weiss",
"590","Darsh Shah, Tao Lei, Alessandro Moschitti, Salvatore Romeo and Preslav Nakov",
"592","Michael Petrochuk and Luke Zettlemoyer",
"601","Minh Nguyen, Gia H Ngo and Nancy Chen",
"602","Yadollah Yaghoobzadeh and Hinrich Schütze",
"604","Ji Ho Park, Jamin Shin and Pascale Fung",
"614","Anna Currey and Kenneth Heafield",
"615","Bill Yuchen Lin and Wei Lu",
"622","Tao Gui, Qi Zhang, Jingjing Gong, Minlong Peng, di liang, Keyu Ding and Xuanjing Huang",
"624","Suraj Maharjan, Manuel Montes, Fabio A. González and Thamar Solorio",
"626","JinYeong Bak and Alice Oh",
"627","Pengfei Cao, Yubo Chen, Kang Liu, Jun Zhao and Shengping Liu",
"628","Qizhe Xie, Guokun Lai, Zihang Dai and Eduard Hovy",
"643","Wenhu Chen, Jianshu Chen, Yu Su, Xin Wang, Dong Yu, Xifeng Yan and William Yang Wang",
"644","Jianfei Yu, Luis Marujo, Jing Jiang, Pradeep Karuturi and William Brendel",
"645","Walker Orr, Prasad Tadepalli and Xiaoli Fern",
"647","Weiming Wen, Songwen Su and Zhou Yu",
"648","Shijie Wu, Pamela Shapiro and Ryan Cotterell",
"652","Mounica Maddela and Wei Xu",
"654","Changsheng Liu and Rebecca Hwa",
"657","Marten van Schijndel and Tal Linzen",
"663","Lei Wang, Yan Wang, Deng Cai, Dongxiang Zhang and Xiaojiang Liu",
"665","Zeyu Dai and Ruihong Huang",
"670","Zexuan Zhong, Jiaqi Guo, Wei Yang, Jian Peng, Tao Xie, Jian-Guang Lou, Ting Liu and Dongmei Zhang",
"679","Prasanna Parthasarathi and Joelle Pineau",
"682","Lizhen Liu, Xiao Hu, Wei Song, Ruiji Fu, Ting Liu and Guoping Hu",
"683","Emmanouil Antonios Platanios, Mrinmaya Sachan, Graham Neubig and Tom Mitchell",
"689","Tsu-Jui Fu and Wei-Yun Ma",
"692","Zhe Zhang and Munindar Singh",
"695","Sedtawut Watcharawittayakul, Mingbin Xu and Hui Jiang",
"701","Yufeng Diao, Hongfei Lin, Di Wu, Liang Yang, Kan Xu, Zhihao Yang, Jian Wang, Shaowu Zhang, Bo Xu and Dongyu Zhang",
"704","Yeon Seonwoo, Alice Oh and Sungjoon Park",
"707","Sebastião Miranda, Arturs Znotins, Shay B. Cohen and Guntis Barzdins",
"709","Sho Takase, Jun Suzuki and Masaaki Nagata",
"712","Linfeng Song, Yue Zhang, Zhiguo Wang and Daniel Gildea",
"717","Nayeon Lee, Chien-Sheng Wu and Pascale Fung",
"719","Adithya Pratapa, Monojit Choudhury and Sunayana Sitaram",
"722","Thanapon Noraset, Doug Downey and Lidong Bing",
"727","Wei Li, Xinyan Xiao, Yajuan Lyu and Yuanzhuo Wang",
"728","Ryo Masumura, Yusuke Shinohara, Ryuichiro Higashinaka and Yushi Aono",
"731","Wei Li, Xinyan Xiao, Yajuan Lyu and Yuanzhuo Wang",
"739","Emilie Colin and Claire Gardent",
"741","Erik-Lân Do Dinh, Hannah Wieland and Iryna Gurevych",
"744","Honglun Zhang, Liqiang Xiao, Wenqing Chen, Yongkun Wang and Yaohui Jin",
"747","Sujith Ravi and Zornitsa Kozareva",
"758","Wei Wu, Houfeng Wang, Tianyu Liu and Shuming Ma",
"761","Devamanyu Hazarika, Soujanya Poria, Rada Mihalcea, Erik Cambria and Roger Zimmermann",
"766","Artuur Leeuwenberg and Marie-Francine Moens",
"768","Ruochen Xu, Yiming Yang, Naoki Otani and Yuexin Wu",
"769","Olof Görnerup and Daniel Gillblad",
"771","Sen Hu, Lei Zou and Xinbo Zhang",
"774","Mathieu Dehouck and Pascal Denis",
"791","Daniel Fernández-González and Carlos Gómez-Rodríguez",
"794","Dirk Hovy and Tommaso Fornaciari",
"814","Ryuji Kano, Yasuhide Miura, Motoki Taniguchi, Yan-Ying Chen, Francine Chen and Tomoko Ohkuma",
"819","Jingyuan Sun, Shaonan Wang and Chengqing Zong",
"821","Hong-You Chen, Cheng-Syuan Lee, Keng-Te Liao and Shou-de Lin",
"829","Jonathan Herzig and Jonathan Berant",
"833","Jiahua Liu, Wan Wei, Maosong Sun, Hao Chen, Yantao Du and Dekang Lin",
"835","Haim Dubossarsky, Eitan Grossman and Daphna Weinshall",
"836","Fenglin Liu, Xuancheng Ren, Yuanxin Liu, Houfeng Wang and Xu Sun",
"846","Yang Yang, Deyu ZHOU and Yulan He",
"855","Hongliang Dai, Yangqiu Song, Liwei Qiu and Rijia Liu",
"862","Gili Goldin, Ella Rabinovich and Shuly Wintner",
"864","Yiqing Zhang, Jianzhong Qi, Rui Zhang and Chuandong Yin",
"865","Kazuya Shimura, Jiyi Li and Fumiyo Fukumoto",
"866","Cheng Yang, Maosong Sun, Xiaoyuan Yi and Wenhao Li",
"867","Yahui Liu, Wei Bi, Jun Gao, Xiaojiang Liu, Jian Yao and Shuming Shi",
"875","Sudhanshu Kasewa, Pontus Stenetorp and Sebastian Riedel",
"887","Elior Sulem, Omri Abend and Ari Rappoport",
"888","Yanai Elazar and Yoav Goldberg",
"894","Masoud Rouhizadeh, Kokil Jaidka, Laura Smith, H. Andrew Schwartz, Anneke Buffone and Lyle Ungar",
"895","Seonghan Ryu, Sangjun Koo, Hwanjo Yu and Gary Geunbae Lee",
"901","Rahul Aralikatte, Neelamadhav Gantayat, Naveen Panwar, Anush Sankaran and Senthil Mani",
"905","Minh Quang Pham, Josep Crego, Jean Senellart and François Yvon",
"907","Jingjing Xu, Xuancheng Ren, Yi Zhang, Qi Zeng, Xiaoyan Cai and Xu Sun",
"909","Kashyap Popat, Subhabrata Mukherjee, Andrew Yates and Gerhard Weikum",
"911","Yang Liu, Matt Gardner and Mirella Lapata",
"912","Minghui Huang, Yanghui Rao, Yuwei Liu, Haoran Xie and Fu Lee Wang",
"928","Dingmin Wang, Yan Song, Jing Li, Jialong Han and Haisong Zhang",
"940","Bernhard Kratzwald and Stefan Feuerriegel",
"946","Alberto Garcia-Duran, Sebastijan Dumančić and Mathias Niepert",
"950","Xiuying Chen, Shen Gao, Chongyang Tao, Yan Song, Dongyan Zhao and Rui Yan",
"953","Jason Lee, Elman Mansimov and Kyunghyun Cho",
"958","Xinyi Wang, Hieu Pham, Pengcheng Yin and Graham Neubig",
"960","Samuel Carton, Qiaozhu Mei and Paul Resnick",
"968","Xiaoyu Shen, Hui Su, Wenjie Li and Dietrich Klakow",
"977","Ying Chen, Wenjun Hou, Xiyao Cheng and Shoushan Li",
"978","Ryota Hinami and Shin'ichi Satoh",
"979","Lijun Wu, Fei Tian, Tao Qin, Jianhuang Lai and Tie-Yan Liu",
"983","Karol Grzegorczyk and Marcin Kurdziel",
"990","Wenhui Wang, Baobao Chang and Mairgup Mansur",
"995","Yi Zhang, Jingjing Xu, Pengcheng Yang and Xu Sun",
"1000","Zhao Zhang, Fuzhen Zhuang, Meng Qu, Fen Lin and Qing He",
